PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,isOutlier,outlierReasons,isUnlikelyGameEvent,unlikelyGameEventReasons,Forward Move,Forward Move WIN Score,Pelvis Total Rotation Range,Pelvis Total Rotation Range WIN Score,Upper Torso Total Rotation Range,Upper Torso Total Rotation Range WIN Score,Negative Move,Negative Move WIN Score,Pelvis Direction at Contact,Pelvis Direction at Contact WIN Score,Max Hip-Shoulder Separation,Max Hip-Shoulder Separation WIN Score,Pelvis Load,Pelvis Load WIN Score,Stride Length,Stride Length WIN Score,Upper Torso Direction at Contact,Upper Torso Direction at Contact WIN Score,Upper Torso Load,Upper Torso Load WIN Score,Hip-Shoulder Separation at Foot Down,Hip-Shoulder Separation at Foot Down WIN Score,Hip-Shoulder Separation at Contact,Hip-Shoulder Separation at Contact WIN Score,SideBendAtFootDown,SideBendAtFootDown WIN Score,ForwardBendAtFootDown,ForwardBendAtFootDown WIN Score,SideBendAtContact,SideBendAtContact WIN Score,ForwardBendAtContact,ForwardBendAtContact WIN Score,TrunkAxisTiltAtFootDown,TrunkAxisTiltAtFootDown WIN Score,TrunkAxisTiltAtContact,TrunkAxisTiltAtContact WIN Score,PelvisMaxAngularVelocity,PelvisMaxAngularVelocity WIN Score,ShoulderMaxAngularVelocity,ShoulderMaxAngularVelocity WIN Score,ArmMaxAngularVelocity,ArmMaxAngularVelocity WIN Score,CenterOfMassDistributionAtNegativeMove,CenterOfMassDistributionAtNegativeMove WIN Score,CenterOfMassDistributionAtFootDown,CenterOfMassDistributionAtFootDown WIN Score,MaxCenterOfMassDistribution,MaxCenterOfMassDistribution WIN Score
,2026-09-15,15:44:05,,,,,,,,,,,,,,,,,,Fastball,,,,,,,,87.9,-5.26,-5.34,1738.14,231.19,1:45,6.36,2.52,6.0,-23.33,14.84,14.12,0.92,-1.33,58.87,9.8,-2.86,,,,,,,,,,,,,-9.63,10.02,-2.11,50.0,5.93,11.42,-126.73,-12.41,-14.78,30.82,-16.81,,,,,,,49eadd12-d221-c5f2-43cb-4ecd8062a14e,88.12,6.36,2.53,-5.26,-5.41,58.88,0.92,-1.33,9.8,-2.87,0.44,14.79,13.65,-22.17,59.93,1609.69,-655.77,92.61,-0.58,-0.38,-0.72,,,,,,,,,,,,,,,,,0.99,,,,medium,high,36.06,82.37,54.5,,,,2022-11,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-15,15:44:22,,,,,,,,,,,,,,,,,,Fastball,,,,,,,,88.01,-3.69,-3.34,1988.92,228.84,1:45,6.34,1.84,6.0,-22.06,15.69,14.24,1.03,-0.11,78.93,-7.8,-0.66,,,,,,,,,,,,,-9.01,9.93,-1.59,50.0,6.04,7.01,-127.48,-8.89,-13.97,31.43,-16.77,,,,,,,5b2566a5-5265-89bf-da4f-3a5e71a972a4,88.25,6.34,1.85,-3.7,-3.43,79.13,1.03,-0.11,-7.8,-0.75,0.44,15.08,14.51,-23.13,68.73,1829.1,-781.16,91.96,-0.61,-0.39,-0.69,,,,,,,,,,,,,,,,,1.0,,,,medium,high,28.15,66.59,54.5,,,,2022-11,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-15,15:44:39,,,,,,,,,,,,,,,,,,Fastball,,,,,,,,89.47,-4.8,-4.81,1821.88,232.97,1:45,6.77,1.95,6.0,-22.5,14.23,14.29,0.36,-1.38,80.37,-8.98,-2.13,,,,,,,,,,,,,-9.54,9.51,-1.58,50,6.38,10.45,-129.19,-11.57,-15.21,31.98,-17.02,,,,,,,f9f3d4eb-ced9-1310-e7d5-7af5beaccc18,89.72,6.77,1.96,-4.8,-4.9,80.57,0.36,-1.39,-8.97,-2.22,0.44,15.14,13.06,-23.71,31.15,1668.12,-732.55,91.56,-0.55,-0.4,-0.73,,,,,,,,,,,,,,,,,1.0,,,,medium,high,61.96,-6.96,54.5,,,,2022-11,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-15,15:44:55,,,,,,,,,,,,,,,,,,Fastball,,,,,,,,84.41,-0.74,-2.24,1987.18,215.44,1:15,6.31,2.39,6.0,-30.1,10.84,4.41,3.1,0.66,75.45,-6.39,-1.41,,,,,,,,,,,,,-3.24,6.23,-2.22,50.0,6.23,4.67,-122.6,-2.45,-4.63,29.86,-23.27,,,,,,,c03b664e-f839-a8e1-bd22-ee9ba6b90f40,84.66,6.31,2.4,-0.72,-2.3,75.66,3.11,0.65,-6.35,-1.47,0.46,5.0,9.06,-64.03,44.95,870.34,-1786.44,43.8,-0.36,-0.9,-0.25,,,,,,,,,,,,,,,,,0.99,,,,medium,high,49.54,-77.9,54.5,,,,2022-11,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-15,15:45:10,,,,,,,,,,,,,,,,,,Fastball,,,,,,,,85.51,-2.76,-4.14,2240.15,210.36,1:00,6.31,2.12,6.0,-30.19,9.93,1.47,1.2,-1.65,76.71,-8.39,-3.86,,,,,,,,,,,,,-2.33,6.47,-1.8,50.0,6.08,8.92,-123.84,-6.86,-3.39,30.48,-22.74,,,,,,,993ddeec-b4e6-5b06-75c3-8804ce2d7533,85.76,6.31,2.13,-2.73,-4.19,76.91,1.2,-1.65,-8.34,-3.91,0.46,1.95,8.13,-72.39,24.08,677.83,-2135.14,30.26,-0.26,-0.95,-0.15,,,,,,,,,,,,,,,,,1.0,,,,medium,high,68.33,-63.99,54.5,,,,2022-11,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-15,15:45:25,,,,,,,,,,,,,,,,,,Fastball,,,,,,,,88.6,-2.46,-1.7,1899.63,234.81,1:45,6.8,2.29,6.0,-23.55,13.61,15.6,2.52,1.99,79.31,-6.87,1.24,,,,,,,,,,,,,-9.19,8.38,-2.16,50.0,6.59,3.34,-128.63,-6.25,-14.47,32.63,-18.99,,,,,,,51acb0d3-4e69-245e-bedd-c2c2c2dea8bf,88.85,6.8,2.3,-2.46,-1.79,79.51,2.52,1.99,-6.86,1.15,0.44,16.51,12.26,-20.3,30.69,1781.68,-658.97,93.79,-0.54,-0.35,-0.77,,,,,,,,,,,,,,,,,0.99,,,,medium,high,62.38,-6.77,54.5,,,,2022-11,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-15,15:45:38,,,,,,,,,,,,,,,,,,Fastball,,,,,,,,86.28,-3.39,-3.96,1834.82,231.9,1:45,6.84,2.55,6.0,-24.99,14.32,13.77,1.56,-0.03,77.42,-8.05,-1.37,,,,,,,,,,,,,-8.97,9.07,-2.24,50.0,6.56,8.24,-124.94,-8.15,-13.36,30.19,-18.66,,,,,,,7ef4aa1b-2668-5c45-4c4b-665bf04befe0,86.53,6.84,2.56,-3.39,-4.05,77.61,1.56,-0.03,-8.04,-1.46,0.45,14.64,12.98,-27.9,50.15,1621.59,-858.5,88.38,-0.55,-0.47,-0.7,,,,,,,,,,,,,,,,,1.0,,,,medium,high,44.87,-72.71,54.5,,,,2022-11,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2026-09-15,15:46:10,1,1,"Madsen, Noah",YAK:MA:NO:9e782613-0d72:0452886,Right,YAK:NKUHOM:9e782613-0d72:0744411,"Mann, Ian",YAK:MA:IA:9e782613-0d72:0385325,Left,YAK:THOMAS:9e782613-0d72:0936209,Windup,1,Top,0,0,0,Fastball,Fastball,InPlay,,FlyBall,Single,0,0,,91.02,-3.74,-2.67,1787.44,233.07,1:45,6.58,1.68,6.0,-21.97,13.32,13.77,1.23,0.32,81.59,-7.84,-0.08,,66.06,26.97,7.84,3486.81,38.42,,,224.83,,4.55,3.48,-8.53,8.66,-1.48,50,6.28,5.73,-131.92,-9.31,-14.14,33.96,-17.81,YAK:NKUHOM:9e782613-0d72:0744411,YAK:THOMAS:9e782613-0d72:0936209,,,,b8025265-b0e8-4bba-9e12-d05e1860d054,84265f3d-b43b-c61c-2a48-11151b473992,91.28,6.58,1.69,-3.74,-2.76,81.8,1.23,0.31,-7.83,-0.16,0.43,14.6,12.1,-25.64,27.22,1611.47,-773.36,90.16,-0.54,-0.43,-0.72,8.03,58.32,29.96,-0.15,5.55,2.42,17.82,224.12,-6.8,40.19,0.87,0.94,-0.23,0.24,,,1.0,,1.0,30.94,medium,high,65.5,-13.85,54.5,"Turner, Tyler",YAK:TU:TY:9e782613-0d72:0703730,YAK:NKUHOM:9e782613-0d72:0744411,2022-11,FALSE,,FALSE,,0.75,5,99.62,5,107.64,5,-0.04,5,-19.22,5,24.69,5,28.94,3,0.59,5,-19.84,4,31.29,3,24.56,4,6.73,4,22.7,,-17.9,,25,,-0.9,,29.5,,25,,566.1,,755.16,,868.18,,14.7,,39.3,,44.4,
2,2026-09-15,15:46:45,2,1,"Madsen, Noah",YAK:MA:NO:9e782613-0d72:0452886,Right,YAK:NKUHOM:9e782613-0d72:0744411,"Resing, Matt",YAK:RE:MA:9e782613-0d72:0295548,Right,YAK:THOMAS:9e782613-0d72:0936209,Stretch,1,Top,0,0,0,Cutter,Fastball,StrikeCalled,,,,0,0,,85.94,-0.75,-2.69,2157.67,185.27,12:15,6.42,2.2,6.0,-32.37,7.19,-1.08,3.01,-0.42,76.83,-6.82,-2.9,,,,,,,,,,,,,-0.4,4.23,-1.99,50.0,6.34,5.9,-124.78,-2.59,-0.6,31.26,-25.92,YAK:NKUHOM:9e782613-0d72:0744411,YAK:THOMAS:9e782613-0d72:0936209,,,,b8025265-b0e8-4bba-9e12-d05e1860d054,a620ada0-bdf5-523d-fbc0-30ad486109a1,86.2,6.41,2.2,-0.7,-2.73,77.04,3.02,-0.42,-6.76,-2.93,0.45,-0.69,5.18,-80.24,22.86,365.66,-2126.46,16.95,-0.17,-0.99,-0.02,,,,,,,,,,,,,,,,,1.0,,,,medium,high,110.57,-22.45,54.5,"Turner, Tyler",YAK:TU:TY:9e782613-0d72:0703730,YAK:NKUHOM:9e782613-0d72:0744411,2022-11,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-09-15,15:47:04,2,2,"Madsen, Noah",YAK:MA:NO:9e782613-0d72:0452886,Right,YAK:NKUHOM:9e782613-0d72:0744411,"Resing, Matt",YAK:RE:MA:9e782613-0d72:0295548,Right,YAK:THOMAS:9e782613-0d72:0936209,Stretch,1,Top,0,0,1,Cutter,Cutter,BallCalled,,,,0,0,,87.06,-0.9,-3.43,2274.25,175.46,11:45,6.42,1.92,6.0,-31.28,7.35,-1.77,2.96,-1.45,77.81,-6.76,-3.76,,,,,,,,,,,,,-0.3,4.38,-1.65,50.0,6.33,7.62,-126.3,-2.91,-0.45,32.09,-25.55,YAK:NKUHOM:9e782613-0d72:0744411,YAK:THOMAS:9e782613-0d72:0936209,,,,b8025265-b0e8-4bba-9e12-d05e1860d054,40ff98b2-c336-39e8-f72b-d625dc58c470,87.32,6.41,1.93,-0.85,-3.46,78.02,2.97,-1.45,-6.7,-3.79,0.45,-1.43,5.39,-80.74,30.89,366.09,-2244.59,16.1,-0.16,-0.99,0.01,,,,,,,,,,,,,,,,,0.99,,,,medium,high,62.2,-67.3,54.5,"Turner, Tyler",YAK:TU:TY:9e782613-0d72:0703730,YAK:NKUHOM:9e782613-0d72:0744411,2022-11,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
